TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.bookkeeper.bookie.storage.ldb.ReadCache,BRANCH,0.95,20,7
org.apache.bookkeeper.util.ZeroBuffer,BRANCH,1.0,8,8
